model,horizon,num_runs,mse_mean,mse_std,mae_mean,mae_std
conv-transformer,90,5,166363.434375,6416.556476123256,310.411376953125,10.411371214886637
conv-transformer,365,5,160845.084375,3573.417340406897,301.9997192382813,3.268961875542171
flow-matching,90,5,237442.81875,16307.68347122997,379.3335327148437,14.593413373133167
flow-matching,365,5,229220.928125,10251.73724956441,369.9552978515625,8.506905487246122
lstm,90,5,165600.84375,2664.3270312442774,308.789208984375,3.2264415554639148
lstm,365,5,163559.284375,2141.945201280389,306.02369384765626,2.1728517942321313
spectral-patch-v2-norevin,90,5,177034.06875,2954.0816510300033,319.7243225097656,3.710861287626889
spectral-patch-v2-norevin,365,5,175179.634375,3737.8141468492945,319.131689453125,3.7144311721551997
transformer,90,5,169783.1,5220.318941188315,314.7186584472656,8.633376723564382
transformer,365,5,162463.53125,3635.441793669134,302.3689453125,2.7133152577052213
